,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,variable
pibhab,35.0,6620.309626116072,1613.694723023271,4379.76416015625,5038.794189453125,6620.59033203125,8098.251708984375,9162.7470703125,2604010.6591131515,0.02550861977770456,-1.5456295384235677,"PIB par hab. (PPA 2011, USD)"
iva,35.0,16.35178126778927,1.665616407092426,14.36152700326864,14.910262385829128,15.599810629640018,18.07628348332664,19.283597591207126,2.774278015575482,0.5467481536848777,-1.339704623149465,VA manufacturière (% PIB)
pop,35.0,1.3262679744321553,0.20844380362552134,0.972827595296714,1.197425313481915,1.33869604527126,1.473376696571525,1.80543997877046,0.0434488192698749,0.164155008295596,-0.24286876134408697,Croissance démographique (%)
credit,35.0,58.6748702857143,26.251667434007658,13.70634,43.352540000000005,54.839,86.007465,96.1517,689.1500430657381,-0.12746088751118997,-1.233484035707777,Crédit privé (% PIB)
dep,35.0,17.074356482507596,1.3108268680513386,14.304671604045552,15.91172360205826,17.018646262748394,18.153489475491764,19.40498595633579,1.7182670780052818,-0.049808599132052496,-1.0404166848363339,Dépenses publiques (% PIB)
ide,35.0,1.9832543433211522,1.177137405417929,0.5471279828801305,1.0947756222972862,1.7481432366207577,2.7073385956316,6.444129283654541,1.3856524712340539,1.6989789154837915,4.740497828122211,IDE nets entrants (% PIB)
tcer,35.0,103.36349502309209,5.211464516229844,95.38232820503517,99.39707504471104,102.6635504171785,107.9362175991969,114.853021814887,27.159362403922763,0.5083417907032778,-0.8123660834656166,TCER (2010=100)
ipc,35.0,93.90775721675126,18.191160875159007,56.90443060890754,81.81519282696783,94.5507647375298,107.08631158250711,129.603106265852,330.91833398591575,-0.07485227622076833,-0.4831782605449093,IPC (2010=100)
